price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,distance_from_downtown_mile,total_sqft_larger_than_neighbours,price_per_sqft,is_renovated
221900,3,1,1180,5650,1,0,3,7,1180,0,1955,98178,47.5112,-122.257,1340,5650,7.43,0,32.49,0
538000,3,2.25,2570,7242,2,0,3,7,2170,400,1951,98125,47.721,-122.319,1690,7639,7.95,1,54.83,1
180000,2,1,770,10000,1,0,3,6,770,0,1933,98028,47.7379,-122.233,2720,8062,10.19,0,16.71,0
604000,4,3,1960,5000,1,0,5,7,1050,910,1965,98136,47.5208,-122.393,1360,5000,6.54,1,86.78,0
510000,3,2,1680,8080,1,0,3,8,1680,0,1987,98074,47.6168,-122.045,1800,7503,13.38,1,52.25,0
1230000,4,4.5,5420,101930,1,0,3,11,3890,1530,2001,98053,47.6561,-122.005,4760,101930,15.6,1,11.46,0
257500,3,2.25,1715,6819,2,0,3,7,1715,0,1995,98003,47.3097,-122.327,2238,6819,20.47,0,30.17,0
291850,3,1.5,1060,9711,1,0,3,7,1060,0,1963,98198,47.4095,-122.315,1650,9711,13.6,0,27.1,0
229500,3,1,1780,7470,1,0,3,7,1050,730,1960,98146,47.5123,-122.337,1780,8113,6.49,0,24.81,0
323000,3,2.5,1890,6560,2,0,3,7,1890,0,2003,98038,47.3684,-122.031,2390,7570,21.61,0,38.22,0
662500,3,2.5,3560,9796,1,0,3,8,1860,1700,1965,98007,47.6007,-122.145,2210,8925,8.72,1,49.6,0
468000,2,1,1160,6000,1,0,4,7,860,300,1942,98115,47.69,-122.292,1330,6000,6.08,0,65.36,0
310000,3,1,1430,19901,1.5,0,4,7,1430,0,1927,98028,47.7558,-122.229,1780,12697,11.39,1,14.53,0
400000,3,1.75,1370,9680,1,0,4,7,1370,0,1977,98074,47.6127,-122.045,1370,10208,13.37,0,36.2,0
530000,5,2,1810,4850,1.5,0,3,7,1810,0,1900,98107,47.67,-122.394,1360,4850,5.26,1,79.58,0
650000,4,3,2950,5000,2,0,3,9,1980,970,1979,98126,47.5714,-122.375,2140,4000,3.12,1,81.76,0
395000,3,2,1890,14040,2,0,3,7,1890,0,1994,98019,47.7277,-121.962,1890,14018,19.14,1,24.8,0
485000,4,1,1600,4300,1.5,0,4,7,1600,0,1916,98103,47.6648,-122.343,1610,4300,4.08,0,82.2,0
189000,2,1,1200,9850,1,0,4,7,1200,0,1921,98002,47.3089,-122.21,1060,5095,21.3,1,17.1,0
230000,3,1,1250,9774,1,0,4,7,1250,0,1969,98003,47.3343,-122.306,1280,8850,18.81,1,20.86,0
385000,4,1.75,1620,4980,1,0,4,7,860,760,1947,98133,47.7025,-122.341,1400,4980,6.66,1,58.33,0
2000000,3,2.75,3050,44867,1,0,3,9,2330,720,1968,98040,47.5316,-122.233,4110,20336,6.92,1,41.74,0
285000,5,2.5,2270,6300,2,0,3,8,2270,0,1995,98092,47.3266,-122.169,2240,7005,20.75,0,33.26,0
252700,2,1.5,1070,9643,1,0,3,7,1070,0,1985,98030,47.3533,-122.166,1220,8386,19.1,1,23.59,0
329000,3,2.25,2450,6500,2,0,4,8,2450,0,1985,98030,47.3739,-122.172,2200,6865,17.69,0,36.76,0
233000,3,2,1710,4697,1.5,0,5,6,1710,0,1941,98002,47.3048,-122.218,1030,4705,21.48,1,36.37,0
937000,3,1.75,2450,2691,2,0,3,8,1750,700,1915,98119,47.6386,-122.36,1760,3573,2.59,0,182.26,0
667000,3,1,1400,1581,1.5,0,5,8,1400,0,1909,98112,47.6221,-122.314,1860,3861,1.38,0,223.75,0
438000,3,1.75,1520,6380,1,0,3,7,790,730,1948,98115,47.695,-122.304,1520,6235,6.27,1,55.44,0
