id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,distance_from_downtown_mile,price_per_sqft,total_sqft_larger_than_neighbours,is_renovated
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0.0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,7.43,32.49,0,0
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0.0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690,7639,7.95,54.83,0,1
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0.0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8062,10.19,16.71,0,0
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0.0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360,5000,6.54,86.78,0,0
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0.0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,13.38,52.25,0,0
7237550310,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,0,0.0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,15.6,11.46,0,0
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0.0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,6819,20.47,30.17,0,0
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0.0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,13.6,27.1,0,0
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0.0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,6.49,24.81,0,0
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0.0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,21.61,38.22,0,0
1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0.0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,8.72,49.6,0,0
9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0.0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,6.08,65.36,0,0
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0.0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,11.39,14.53,0,0
